平台ID,banner,插屏,原生模版,激励视频,原生模板常驻,appid,每天第一次播放使用,自动刷新无效，手动刷新切换的第二个banner,积木广告,二次刷新积木广告,平台说明
id,banner,interstitial,nativeTemp,rewardedVideo,nativeTempRoot,appid,rewardedVideoOnce,bannerUpdate,blockOnce,blockOnceUpdate,
1,adunit-9603004b6a9125e1,adunit-ee5c5dad4a516ef3,adunit-1312ee8368a9be8b,adunit-c2155c6d6ea8c7f4,,,,,adunit-563d0421244c8bc6,,微信小游戏
2,04ec2b25ad854e117a35d6b7d076a16f,055608e77df1e15bed45427720e575f7,6f4fe42a295a14e8c2d96c7ebcef5498,0c7449220b94870dce2d314458f0b4e5,,1112299788,,,59345af6cd767fef46abb1e0bf499552,,qq小游戏
3,,,,1qh38pq820s8dm69a0,,tt3bff4d42a4c3935f02,,,,,头条/抖音小游戏
4,f19113729c07474ab997ec8c7cf885d5,9c3a2dda66fb4931b5ff2e536478a699,0aec615e3e8046ceabaeed9f66fa1252,17103557b0b142169a85b017e73990db,,,,,,,vivo小游戏
5,1149153,,1149155,1149166,1173348,,,,,,oppo小游戏
6,947533312,947533391,,947482418,,,,,,,TapTap平台
7,w4h3yphikx,l0wedzggm1,,f8dvwrgo1q  ,,108558933,,,,,华为快游戏
8,5ae7a621d432d13ca7be8201c23b41d7,c2fb8026dac386c67043ae9938c483b3,,ee99a7b9b47adc3a7fed2fa724232f72,,,,,,,小米
9,8a3c19ae248be93c,5ae4498d290e54a0,,280999b568034411,,,,,,,海外，东南亚
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,ad_65c97e884b2409a9,,ad_3391ad9c08aa488b,,kwaio90noglu9jws,,,,,海外快手
13,,,,,,,,,,,
14,,2300005008_02,,2300005008_01,,ks701435645020147650,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9999,,,,,,,,,,,自动获取属于哪个平台
99,,,,,,,,,,,浏览器平台
8888,,,,951474837,,,,,,,基础安卓平台（只读）
8899,,,,947482418,,,,,,,基础ios平台（只读）
